boxes,flora_factor,season_f,health_f,yield_kg
10,7.00,1.00,0.45,30.61
15,4.00,0.85,1.00,49.64
27,5.50,0.85,0.45,58.82
8,4.00,0.85,0.45,11.85
38,5.50,1.00,0.45,96.68
6,5.50,0.85,0.45,9.74
47,6.50,0.85,0.45,116.73
34,5.50,1.00,0.45,82.71
17,5.50,0.85,0.45,32.70
19,6.50,0.85,0.45,47.07
34,7.00,0.70,0.45,79.30
5,6.50,0.85,0.75,18.59
36,6.50,0.85,0.45,89.19
28,5.00,0.85,0.75,85.97
11,7.00,0.85,0.45,25.80
44,5.00,1.00,0.45,97.03
31,4.00,0.70,0.45,37.94
9,5.00,0.85,0.75,27.67
33,4.00,0.85,0.45,49.92
21,5.50,1.00,0.45,47.85
38,5.00,0.70,1.00,131.44
25,7.00,0.85,0.45,68.19
49,6.50,1.00,0.75,235.48
46,5.00,1.00,0.45,102.61
2,5.00,0.85,0.75,7.11
21,5.50,0.70,0.45,34.43
10,6.50,1.00,0.75,49.60
23,6.50,1.00,0.45,63.47
8,7.00,0.85,0.45,23.64
27,5.50,0.85,0.75,95.58
8,7.00,0.70,0.75,29.54
31,6.50,0.70,0.45,66.28
23,5.50,0.85,0.45,47.56
49,5.50,0.85,0.45,101.54
44,5.50,0.85,0.45,96.00
30,4.00,0.85,0.45,50.50
22,5.50,1.00,0.45,52.72
36,4.00,0.85,0.75,91.52
33,7.00,0.70,0.45,75.38
7,7.00,0.85,0.45,18.55
19,5.00,0.85,0.45,37.82
49,4.00,0.70,0.45,63.69
16,5.50,1.00,0.45,38.19
1,5.50,1.00,0.75,5.17
41,4.00,0.70,0.45,51.64
46,7.00,0.70,0.45,98.39
33,4.00,0.85,0.45,48.02
32,6.50,0.70,0.45,63.89
18,5.00,0.85,0.45,36.75
18,7.00,0.70,0.45,42.09
45,6.50,1.00,0.45,133.50
43,6.50,0.70,0.45,89.14
25,7.00,1.00,0.45,79.78
16,6.50,1.00,1.00,104.69
10,4.00,0.70,0.45,13.62
1,6.50,1.00,0.45,4.11
24,7.00,0.85,0.75,103.59
28,6.50,0.70,0.45,55.35
34,4.00,0.70,1.00,92.63
40,4.00,0.85,0.45,63.97
18,5.00,1.00,0.75,71.64
9,7.00,1.00,0.45,22.93
42,5.00,0.85,0.45,84.24
38,5.50,0.85,0.45,80.16
27,5.00,0.70,0.45,45.06
2,6.50,0.70,0.45,5.36
23,7.00,0.85,0.75,106.24
31,7.00,0.85,0.45,83.53
43,4.00,0.85,0.45,62.38
25,4.00,1.00,0.45,44.74
23,4.00,0.85,0.45,36.48
19,5.50,0.70,0.45,32.38
21,4.00,0.70,0.45,28.10
1,4.00,0.70,0.75,1.94
6,7.00,0.70,0.45,11.74
38,7.00,0.85,1.00,223.39
18,5.50,0.85,0.45,36.89
42,5.00,0.70,0.75,110.76
20,7.00,0.85,0.45,48.65
49,4.00,0.70,0.45,59.79
9,6.50,0.85,0.75,32.30
10,4.00,1.00,1.00,38.46
29,5.50,1.00,0.45,74.77
40,6.50,1.00,0.45,114.03
8,5.00,1.00,0.45,19.76
25,5.50,0.70,0.45,50.43
11,4.00,0.70,0.45,17.49
37,7.00,0.70,0.75,136.31
28,6.50,1.00,0.45,84.05
33,7.00,0.85,0.45,84.93
14,5.00,1.00,0.45,27.57
15,5.50,1.00,0.75,61.95
32,6.50,0.85,0.45,80.56
18,6.50,0.70,0.45,39.59
34,6.50,1.00,0.45,98.03
8,5.00,0.85,0.45,15.78
15,5.00,1.00,0.45,34.15
5,4.00,0.70,0.45,5.97
5,6.50,1.00,0.75,24.19
13,6.50,0.85,0.75,51.73
24,5.00,1.00,0.45,54.70
8,5.50,0.85,0.45,17.32
5,4.00,0.85,0.45,6.55
43,5.50,0.85,0.75,152.43
26,5.50,0.70,0.45,47.61
36,4.00,0.70,0.45,47.05
36,7.00,0.85,0.45,93.78
5,5.00,0.70,0.75,13.37
31,4.00,0.85,0.45,45.15
43,5.50,1.00,0.45,106.67
22,4.00,0.85,0.75,53.83
43,5.00,0.70,0.75,116.07
47,4.00,1.00,1.00,189.96
27,4.00,0.85,0.45,44.19
5,4.00,0.85,1.00,19.63
31,5.50,1.00,0.75,127.20
44,4.00,0.85,0.45,66.26
29,7.00,0.85,0.45,82.00
40,4.00,0.85,0.45,60.79
27,5.50,0.70,0.45,43.39
21,5.50,0.85,0.45,46.70
47,7.00,0.85,0.45,126.20
8,5.50,1.00,0.75,36.76
22,5.00,1.00,0.75,83.11
8,7.00,0.70,0.45,17.59
33,5.00,0.70,0.45,55.79
46,7.00,0.70,0.45,97.58
49,5.50,1.00,0.45,119.81
12,7.00,0.70,0.45,24.24
36,5.00,1.00,0.75,129.51
43,7.00,1.00,0.45,137.63
41,5.50,1.00,0.45,100.08
25,5.50,0.70,0.45,45.58
9,7.00,0.85,1.00,54.52
23,7.00,0.85,0.45,63.10
39,7.00,0.70,0.75,142.19
31,7.00,1.00,0.75,160.84
20,4.00,1.00,0.45,36.22
11,5.50,0.70,0.45,21.36
32,4.00,0.85,0.45,48.83
21,6.50,0.70,0.75,69.91
24,5.00,0.85,0.45,42.90
46,5.00,1.00,0.45,104.01
1,5.00,0.85,0.45,0.53
12,4.00,0.70,0.75,25.02
46,6.50,1.00,0.75,223.65
46,6.50,1.00,0.45,133.44
15,6.50,0.85,0.45,38.03
49,4.00,0.85,0.45,76.36
11,7.00,0.85,0.75,54.00
3,4.00,1.00,0.75,10.89
16,5.50,0.70,1.00,65.58
27,4.00,1.00,0.75,78.95
1,4.00,1.00,0.45,0.00
9,5.00,0.70,0.45,14.14
39,6.50,0.85,0.45,99.11
31,5.50,0.85,0.45,66.97
30,6.50,0.85,0.45,77.62
49,5.00,1.00,0.45,103.91
12,5.50,0.85,0.45,28.38
44,5.00,0.70,0.75,116.34
18,5.50,1.00,0.45,40.69
46,6.50,0.70,0.45,95.99
39,5.00,1.00,0.45,88.17
11,5.00,0.70,0.45,18.28
11,4.00,0.70,0.75,25.60
27,7.00,0.70,0.45,60.61
25,6.50,0.85,0.45,58.47
12,7.00,0.70,0.45,26.10
13,7.00,0.70,0.45,24.62
45,4.00,0.85,0.75,116.37
37,5.50,0.70,0.45,67.60
10,6.50,0.85,0.45,21.76
36,7.00,0.70,0.45,77.70
8,4.00,0.70,0.45,7.87
22,7.00,0.85,0.45,57.77
1,7.00,1.00,0.45,4.18
32,5.00,1.00,0.45,70.89
9,5.50,1.00,0.75,38.76
12,7.00,0.85,1.00,74.06
10,5.50,0.85,0.45,23.79
9,5.50,0.70,0.45,12.80
4,5.00,1.00,0.45,12.46
28,5.50,1.00,0.45,72.97
43,7.00,0.85,0.45,119.01
15,4.00,1.00,0.45,26.61
39,7.00,0.70,0.75,141.45
27,6.50,1.00,0.45,76.51
13,5.50,0.85,0.45,24.59
4,4.00,0.70,0.75,8.43
39,5.00,0.85,0.45,76.71
2,5.00,0.70,0.45,6.42
21,6.50,0.85,1.00,114.81
2,7.00,0.70,0.45,4.31
39,5.00,0.70,0.45,61.16
49,7.00,0.85,0.75,217.07
16,4.00,1.00,0.45,30.64
16,5.00,0.70,0.75,42.91
28,7.00,1.00,0.45,88.55
25,5.00,0.85,1.00,107.15
19,6.50,0.85,0.75,80.27
18,7.00,0.70,0.45,41.20
10,5.00,0.85,0.45,17.03
13,5.50,0.85,0.45,29.59
29,5.50,0.85,0.45,61.65
36,5.50,0.70,0.45,61.28
37,6.50,0.85,0.45,92.58
26,5.00,0.70,0.75,69.11
37,5.50,1.00,0.45,94.28
30,7.00,0.85,0.45,77.71
18,7.00,0.70,0.75,69.46
18,4.00,0.70,0.45,22.74
26,5.50,0.85,0.75,89.90
16,6.50,0.70,0.75,53.26
38,7.00,0.85,0.45,99.24
10,5.50,0.85,0.45,16.69
3,4.00,0.70,0.75,7.99
25,4.00,0.70,0.45,36.45
4,4.00,0.70,0.45,1.00
10,7.00,0.70,0.45,19.67
19,5.50,1.00,0.45,48.90
1,4.00,0.85,0.45,1.42
11,4.00,0.85,0.75,30.14
27,6.50,0.70,0.45,55.03
19,5.00,1.00,0.45,41.30
44,4.00,0.70,0.45,54.88
5,7.00,1.00,0.45,9.79
36,5.50,0.85,0.45,72.88
30,5.00,0.70,0.45,49.62
32,4.00,1.00,0.75,98.98
33,5.00,1.00,0.45,77.77
3,4.00,0.70,0.45,4.88
39,6.50,1.00,0.45,108.43
17,4.00,0.70,0.45,19.83
32,5.00,0.70,0.75,87.31
15,4.00,0.85,0.75,42.31
20,7.00,0.70,0.75,76.91
35,6.50,1.00,0.45,101.78
46,4.00,0.70,0.45,54.69
44,4.00,1.00,0.45,79.10
36,6.50,0.70,0.45,73.75
27,6.50,0.70,0.45,59.20
26,4.00,1.00,0.45,47.37
48,5.00,0.70,0.45,75.64
11,7.00,0.85,0.45,29.64
47,6.50,0.70,1.00,214.85
32,4.00,0.85,0.45,50.53
31,5.00,1.00,0.75,114.44
29,4.00,0.70,0.45,33.90
40,5.50,1.00,0.45,102.43
34,5.50,0.85,0.75,115.11
5,5.00,1.00,0.45,15.34
39,5.00,1.00,0.45,82.97
36,4.00,1.00,0.45,63.34
45,7.00,1.00,0.75,238.68
46,5.50,0.70,0.45,79.70
47,5.00,0.70,0.75,120.08
3,7.00,0.70,0.45,7.68
31,5.00,1.00,0.45,69.92
46,5.50,0.70,0.45,79.15
48,5.00,0.85,0.45,90.24
27,4.00,0.70,0.45,33.93
45,5.50,0.70,0.45,76.51
44,5.50,1.00,0.75,187.59
1,5.00,0.70,0.45,0.97
44,5.50,0.85,0.75,153.34
32,5.00,0.85,0.45,59.85
29,5.00,0.85,0.45,59.90
9,6.50,1.00,0.45,22.23
46,7.00,1.00,0.45,145.80
15,5.00,0.70,0.45,23.03
21,7.00,0.70,1.00,99.34
15,7.00,0.85,0.45,38.11
48,4.00,0.70,0.45,61.27
24,5.50,0.85,0.45,48.33
6,4.00,1.00,0.45,11.45
1,6.50,0.70,0.45,6.37
49,6.50,0.70,0.45,100.75
12,6.50,1.00,0.45,31.47
38,4.00,0.70,0.75,77.68
2,5.00,0.85,0.45,3.11
44,4.00,0.70,0.45,54.56
32,5.50,1.00,0.45,79.58
12,4.00,0.85,0.75,31.38
44,6.50,1.00,0.45,133.03
15,5.00,0.70,0.75,39.37
49,4.00,0.85,0.75,122.07
30,5.00,1.00,0.45,70.38
22,5.50,0.70,0.45,41.27
3,6.50,0.70,0.45,6.72
13,5.50,0.85,0.75,44.97
3,5.50,0.70,0.45,6.75
42,6.50,0.70,0.45,85.47
5,5.50,0.85,0.45,5.38
6,5.00,0.70,0.45,10.86
7,6.50,1.00,0.45,22.71
48,7.00,0.70,0.45,109.44
48,6.50,0.85,0.45,117.51
36,5.50,1.00,0.45,89.67
4,4.00,0.70,0.45,5.66
25,6.50,0.70,0.45,51.40
47,7.00,0.70,0.45,103.92
5,5.00,1.00,1.00,25.09
39,5.50,0.70,0.45,68.10
1,5.00,0.70,0.45,3.43
40,5.00,0.70,0.45,66.05
27,5.00,0.85,0.45,49.75
44,7.00,0.70,0.75,161.27
21,4.00,0.70,0.75,43.04
39,4.00,1.00,0.75,115.59
42,7.00,1.00,0.75,216.46
16,5.00,0.70,0.45,25.26
32,4.00,0.85,0.45,50.16
23,5.00,1.00,0.45,51.36
22,5.00,1.00,0.45,49.48
40,4.00,0.70,0.45,51.45
12,5.50,1.00,0.45,33.23
6,4.00,1.00,0.45,9.75
24,6.50,0.85,0.45,56.74
41,5.00,0.70,0.45,64.35
8,5.00,0.85,0.75,30.21
17,4.00,0.85,0.75,40.45
33,5.50,0.70,0.45,58.80
24,5.50,0.85,0.75,87.04
30,4.00,0.70,0.45,31.89
26,4.00,1.00,0.45,47.83
40,5.50,0.85,0.45,85.66
43,6.50,1.00,0.75,208.96
23,4.00,0.70,0.45,27.36
22,4.00,0.70,0.45,26.24
14,6.50,0.70,0.45,27.84
22,6.50,1.00,0.45,63.59
41,7.00,0.70,0.45,89.18
25,4.00,0.85,0.45,37.39
34,5.00,1.00,0.45,79.48
21,5.00,0.85,0.45,37.13
35,6.50,0.85,0.45,82.65
35,5.00,0.85,0.45,69.95
26,5.00,0.70,0.45,40.47
46,5.50,0.85,0.45,95.80
43,6.50,1.00,0.45,125.50
8,6.50,0.85,0.75,33.67
12,4.00,1.00,0.45,20.29
47,4.00,1.00,0.45,85.86
20,7.00,1.00,0.75,102.59
16,5.50,0.70,0.45,26.97
40,6.50,0.85,0.45,93.91
30,4.00,1.00,0.45,56.93
7,6.50,0.85,0.45,16.96
5,5.00,0.70,0.45,9.55
40,4.00,0.85,0.75,103.19
38,4.00,0.70,0.75,81.17
18,6.50,0.85,1.00,99.43
43,6.50,0.70,0.45,89.01
7,6.50,0.85,0.45,15.00
43,7.00,0.85,0.45,112.20
4,5.00,1.00,0.45,8.75
32,5.00,1.00,0.45,70.30
42,7.00,0.70,0.45,96.17
31,4.00,0.70,0.45,40.00
39,4.00,0.85,1.00,130.81
17,5.50,0.85,0.45,35.08
15,5.00,1.00,0.45,34.08
14,4.00,0.85,0.45,21.25
6,7.00,1.00,0.45,19.58
14,6.50,0.85,0.75,58.18
13,4.00,1.00,0.75,35.52
38,5.50,0.70,0.75,104.35
11,5.00,0.70,1.00,37.57
9,7.00,1.00,0.45,29.75
36,7.00,1.00,0.45,112.49
27,5.50,0.70,0.45,49.87
11,7.00,1.00,0.45,34.53
35,7.00,0.85,0.45,97.11
11,4.00,1.00,0.45,22.68
39,5.50,0.85,0.75,139.37
2,4.00,1.00,0.75,2.99
29,5.00,1.00,0.75,108.79
30,6.50,0.85,0.45,77.64
19,5.00,1.00,0.45,43.43
34,6.50,0.70,0.45,71.00
19,4.00,0.85,0.45,25.60
33,6.50,0.85,0.45,86.84
11,5.00,0.85,0.45,19.06
28,7.00,0.70,0.45,56.75
38,6.50,0.70,0.45,76.93
48,7.00,1.00,0.45,145.08
18,4.00,0.70,0.75,35.09
24,5.50,0.85,0.75,90.55
24,5.00,0.70,0.45,36.85
43,5.00,0.70,0.75,109.31
48,6.50,0.70,0.45,98.34
32,4.00,0.70,0.45,38.08
41,5.50,1.00,0.75,171.29
5,5.00,0.70,0.45,5.65
38,5.50,0.70,0.45,66.51
40,4.00,1.00,0.45,69.13
36,5.50,1.00,0.45,95.60
29,5.00,0.85,0.45,56.72
45,7.00,0.85,0.75,200.45
33,5.50,0.70,0.45,56.44
42,4.00,0.85,0.45,62.88
9,5.00,1.00,0.75,31.85
33,5.50,0.85,0.45,67.45
22,4.00,0.70,0.75,50.40
43,4.00,0.70,0.45,52.80
44,6.50,1.00,0.45,123.38
42,4.00,0.70,0.45,50.01
11,5.50,1.00,0.45,29.54
25,5.50,0.70,0.45,42.68
1,4.00,0.70,1.00,2.46
49,4.00,1.00,0.45,91.12
13,7.00,0.70,0.75,45.83
31,6.50,0.85,0.45,78.65
24,5.50,0.70,0.45,39.91
45,5.50,1.00,0.45,112.81
41,6.50,0.70,0.75,138.93
39,5.00,0.70,0.45,60.82
32,7.00,1.00,0.45,102.85
6,7.00,0.85,0.45,17.94
46,6.50,0.85,0.45,113.95
4,5.00,1.00,1.00,18.82
23,5.00,0.70,0.75,64.37
19,6.50,1.00,0.45,57.05
20,6.50,1.00,0.45,57.52
48,6.50,0.85,0.45,117.71
12,4.00,0.85,0.45,20.92
29,5.50,1.00,0.45,72.06
11,7.00,0.70,0.45,23.85
45,5.50,1.00,0.45,111.66
37,5.50,1.00,0.45,92.42
21,7.00,0.85,0.75,93.57
4,5.00,0.70,0.45,9.31
8,7.00,1.00,0.45,28.35
12,6.50,0.85,0.45,31.16
20,5.50,0.70,0.45,38.09
44,5.00,0.70,0.45,69.32
6,4.00,1.00,0.45,12.53
29,4.00,0.85,0.45,46.88
18,4.00,0.70,0.45,25.23
3,7.00,0.70,0.45,8.90
31,4.00,0.85,0.45,49.01
35,4.00,0.70,0.45,48.99
48,5.00,0.85,1.00,202.65
25,7.00,1.00,0.75,130.86
16,6.50,0.85,0.45,39.24
42,5.00,0.85,0.45,79.40
13,5.00,0.70,0.45,15.50
34,5.50,0.70,0.45,62.34
47,6.50,0.85,0.45,114.29
1,5.00,0.70,0.75,3.05
46,7.00,1.00,0.75,237.95
11,5.00,0.70,0.45,18.88
24,5.00,1.00,0.45,52.04
13,7.00,0.85,0.45,31.97
8,5.00,0.70,0.45,13.09
35,6.50,0.85,0.45,85.27
24,7.00,0.70,0.45,51.48
25,5.00,0.85,0.45,48.24
24,4.00,1.00,0.45,45.20
37,5.50,0.85,0.45,75.79
48,5.00,1.00,0.45,105.52
26,5.00,0.85,0.45,49.78
8,6.50,0.85,0.45,21.24
17,4.00,1.00,1.00,71.66
25,4.00,0.85,0.45,35.57
6,6.50,1.00,0.45,16.76
12,5.50,1.00,0.45,32.64
10,6.50,0.85,0.45,29.80
48,6.50,0.70,0.45,95.80
20,7.00,1.00,0.75,103.15
44,5.50,1.00,0.45,109.85
28,5.50,1.00,1.00,152.56
25,4.00,0.85,0.75,61.85
46,6.50,1.00,0.45,135.16
34,6.50,0.85,1.00,191.72
12,5.00,0.70,0.45,15.63
14,5.50,1.00,0.45,38.40
33,5.00,0.70,0.75,85.19
1,5.50,0.85,0.75,4.37
8,4.00,0.85,1.00,31.18
4,7.00,0.85,0.45,11.52
35,7.00,0.70,0.45,76.43
22,6.50,0.85,0.45,56.49
1,4.00,0.70,0.45,0.83
37,4.00,1.00,0.45,67.90
33,7.00,1.00,0.75,172.74
36,5.50,0.85,0.45,77.89
8,6.50,1.00,0.45,19.91
43,4.00,1.00,1.00,169.47
9,7.00,1.00,0.75,43.73
28,6.50,1.00,0.45,81.76
28,4.00,1.00,0.75,80.18
11,5.00,0.70,0.75,27.15
19,5.00,0.85,0.45,33.57
3,5.50,1.00,0.45,11.12
24,5.50,1.00,0.45,56.92
34,4.00,0.70,0.45,39.62
16,6.50,0.70,0.45,33.38
27,4.00,1.00,0.75,85.22
47,6.50,0.85,0.45,116.56
12,4.00,1.00,0.45,21.50
15,7.00,0.85,0.45,43.39
6,4.00,0.85,0.75,17.50
27,5.50,0.70,0.45,47.84
10,5.00,0.85,0.45,17.67
42,5.00,0.70,0.75,111.39
15,5.50,0.70,0.45,22.59
33,5.50,0.70,0.45,55.61
10,4.00,0.70,0.45,16.18
16,4.00,0.70,0.75,36.85
9,5.50,1.00,0.45,23.37
28,5.50,0.70,0.45,43.69
2,6.50,0.70,0.45,1.07
5,4.00,0.85,0.45,5.95
25,4.00,0.70,0.45,31.07
27,5.00,0.70,0.75,67.75
17,7.00,1.00,0.45,52.93
22,4.00,1.00,0.75,70.42
21,7.00,0.70,0.45,47.31
38,5.50,0.85,0.45,80.49
22,4.00,0.70,0.45,25.18
42,5.50,0.85,0.45,84.26
11,5.50,0.85,0.75,35.50
10,5.00,1.00,0.75,33.30
20,4.00,1.00,0.45,36.19
4,5.00,1.00,0.45,9.96
33,5.00,0.85,0.45,60.70
20,5.00,1.00,0.45,45.37
18,5.50,0.70,0.45,34.86
27,4.00,1.00,0.75,85.89
5,5.00,0.70,0.45,9.80
19,7.00,1.00,0.75,99.31
48,4.00,1.00,0.45,88.25
31,4.00,0.85,1.00,108.78
29,5.00,0.70,0.45,40.66
25,5.50,0.70,0.75,75.89
23,5.50,0.85,0.45,47.02
46,5.50,0.85,0.45,95.44
46,5.50,0.70,1.00,176.21
21,4.00,0.70,0.45,27.26
46,6.50,0.70,0.45,91.41
5,6.50,1.00,0.45,13.91
16,4.00,0.85,0.75,42.11
15,5.50,0.70,0.45,26.53
35,7.00,0.85,0.45,94.66
30,5.50,1.00,0.75,122.94
24,5.00,0.85,0.45,47.63
13,7.00,1.00,0.75,70.89
25,4.00,0.85,1.00,87.49
14,4.00,0.85,0.75,36.77
25,7.00,0.70,0.45,57.47
17,4.00,0.70,0.45,23.60
44,5.00,0.70,0.45,75.99
37,7.00,0.70,0.75,139.02
9,6.50,1.00,0.45,26.10
47,5.00,0.70,0.45,71.75
33,5.00,0.85,0.45,62.46
18,7.00,0.70,0.45,38.86
26,5.50,1.00,0.45,65.63
10,7.00,0.85,0.45,25.02
3,5.00,1.00,0.45,9.73
21,6.50,0.85,0.45,48.74
39,4.00,1.00,0.45,66.12
18,4.00,1.00,0.45,32.06
19,5.00,1.00,0.45,40.64
49,5.00,1.00,0.45,107.10
49,5.50,0.70,0.45,83.30
23,5.50,0.70,0.75,64.51
3,4.00,1.00,0.45,5.43
34,5.00,0.70,0.45,52.00
36,4.00,0.85,0.45,53.73
45,4.00,1.00,0.75,134.99
47,5.00,0.70,0.45,76.56
31,5.50,1.00,0.45,80.40
6,4.00,1.00,0.45,11.17
13,7.00,1.00,1.00,91.56
36,5.00,1.00,0.45,80.54
30,6.50,0.85,0.45,75.79
22,5.50,1.00,0.45,55.43
20,5.50,1.00,1.00,113.31
35,5.50,0.85,0.75,118.00
21,6.50,0.85,0.45,51.63
8,4.00,0.70,0.45,10.93
48,5.50,1.00,0.75,197.93
18,5.50,0.85,0.75,60.76
14,5.50,1.00,0.75,54.50
4,6.50,0.70,0.45,10.21
23,5.00,1.00,0.45,49.86
49,4.00,0.70,0.45,57.35
8,5.00,0.70,0.45,14.74
12,5.00,1.00,0.45,28.15
9,5.00,1.00,0.45,19.96
5,5.50,1.00,0.45,10.09
30,7.00,0.85,0.45,80.04
15,5.00,0.85,0.45,31.73
37,7.00,0.85,0.45,95.03
20,7.00,0.85,0.45,49.64
32,6.50,0.70,0.45,63.95
5,5.50,0.85,1.00,23.31
17,5.50,1.00,1.00,92.26
21,6.50,1.00,0.75,103.98
3,6.50,0.70,0.45,8.86
21,5.00,1.00,1.00,105.70
24,7.00,1.00,0.45,77.00
20,5.50,1.00,0.45,50.18
25,7.00,0.85,0.45,66.96
40,5.00,1.00,0.45,86.77
38,6.50,0.85,0.45,91.91
1,7.00,0.70,0.45,0.00
32,4.00,0.70,0.45,39.95
45,6.50,0.85,1.00,249.21
43,7.00,0.70,0.45,91.19
16,6.50,0.85,0.45,39.96
39,7.00,0.70,0.45,83.81
40,5.50,1.00,0.45,96.33
18,4.00,0.70,0.45,21.12
43,6.50,1.00,0.45,122.97
31,7.00,1.00,0.45,99.17
37,5.50,1.00,1.00,203.08
37,6.50,0.85,0.45,94.03
39,5.50,0.85,0.45,80.94
47,5.00,1.00,0.45,104.74
43,6.50,0.70,0.75,151.42
21,5.50,1.00,0.45,47.92
28,6.50,0.85,0.45,72.83
32,5.00,0.85,0.45,65.34
42,6.50,0.85,0.75,175.95
20,7.00,0.70,0.45,43.27
16,5.50,0.70,0.45,31.29
37,7.00,0.70,0.45,80.78
47,4.00,0.70,0.75,96.94
45,4.00,0.70,0.45,55.73
8,5.50,0.85,0.45,15.40
46,6.50,0.85,0.45,112.00
39,5.00,1.00,0.45,90.53
8,5.00,0.70,0.45,10.67
1,4.00,0.70,0.45,1.19
11,4.00,0.70,0.75,19.49
46,7.00,0.70,0.45,101.51
37,7.00,0.70,0.75,133.09
29,6.50,0.70,0.45,56.43
31,4.00,1.00,0.45,55.53
21,7.00,1.00,0.45,68.79
45,5.50,0.85,0.45,95.77
8,5.50,0.85,0.45,18.10
16,5.00,0.70,0.75,41.68
10,7.00,0.70,0.45,21.21
42,5.00,0.70,0.45,68.13
27,5.50,0.70,0.45,45.37
34,5.50,1.00,0.45,86.24
46,5.00,0.85,0.45,91.06
10,6.50,1.00,0.45,27.15
48,5.00,0.85,0.45,90.06
7,7.00,0.85,0.45,17.38
37,5.00,0.70,0.75,93.46
35,7.00,1.00,0.45,109.08
41,5.50,0.85,0.45,89.51
8,5.50,0.70,0.45,11.25
48,4.00,0.85,0.75,125.71
39,4.00,1.00,0.45,69.12
6,5.50,1.00,0.45,20.14
28,4.00,0.85,0.45,41.14
41,6.50,0.85,0.45,101.58
24,5.50,0.70,0.45,39.30
19,6.50,0.85,0.75,77.01
14,4.00,0.85,0.45,24.77
26,5.50,0.85,0.45,55.88
49,7.00,1.00,0.75,259.82
30,5.00,1.00,0.75,109.21
36,7.00,0.85,0.45,98.03
39,7.00,0.70,0.45,83.57
39,6.50,0.85,0.45,93.62
20,5.50,1.00,0.75,83.10
38,7.00,0.70,0.45,84.36
17,5.00,1.00,0.45,38.38
29,5.50,0.70,0.45,52.04
15,5.50,0.70,0.45,28.17
47,4.00,0.70,0.75,102.37
36,5.00,1.00,0.45,78.02
29,7.00,1.00,0.45,95.11
23,5.50,0.85,0.45,53.09
26,7.00,0.70,0.45,56.41
39,6.50,0.70,0.45,75.68
14,5.00,0.85,0.45,23.32
41,4.00,1.00,0.75,121.85
14,5.50,0.70,0.45,29.29
7,6.50,0.70,0.45,14.38
37,6.50,0.85,0.45,90.45
35,5.50,0.85,0.75,121.01
17,4.00,1.00,0.45,27.29
32,5.00,0.70,0.45,52.59
36,5.50,1.00,0.45,88.87
39,5.00,0.70,0.75,107.62
47,5.50,0.70,0.45,83.00
42,5.50,0.70,0.45,74.84
22,4.00,0.70,0.45,27.11
12,6.50,0.70,0.45,21.84
5,7.00,1.00,0.45,13.57
29,6.50,0.85,0.45,68.68
33,5.00,0.85,0.45,65.39
34,4.00,0.70,0.45,41.88
1,4.00,0.70,1.00,5.18
