temp_c,humidity_pct,weight_kg,sound_db,varroa_count,brood_score,health_label
30.9,67.6,40.9,74.8,14,2,0
33.7,71.7,27.9,58.8,12,2,0
33.3,61.2,26.1,66.6,6,4,1
32.9,66.4,30.2,38.6,6,3,1
33.8,57.4,11.4,46.9,8,1,0
38.2,80.2,18.4,82.9,12,3,0
32.3,83.3,25.0,62.5,11,4,0
36.9,81.6,22.3,52.0,7,4,1
30.3,60.1,15.2,64.4,12,5,0
33.7,53.6,34.9,51.5,6,3,1
34.9,80.3,30.1,59.2,11,5,0
36.0,71.5,29.1,47.5,3,3,1
36.3,68.9,22.4,54.1,6,4,1
36.5,57.4,28.6,57.8,12,1,0
33.6,70.1,32.1,73.2,3,5,1
33.3,52.0,25.9,66.6,9,1,0
36.6,72.6,31.6,68.4,4,5,2
34.0,81.5,21.6,61.7,6,3,1
31.3,84.6,28.8,70.2,4,2,0
31.7,73.5,37.1,53.3,9,3,0
32.2,48.4,37.9,54.7,11,1,0
35.7,67.4,38.6,66.1,12,3,0
34.9,90.7,30.3,59.2,5,1,0
36.2,54.6,28.3,61.9,2,3,1
33.4,64.3,24.4,60.4,13,1,0
34.9,82.0,13.5,74.5,5,1,0
36.1,72.4,17.2,75.1,9,4,0
33.7,94.8,26.7,55.7,5,1,0
35.6,56.2,27.1,44.4,12,2,0
32.8,53.1,39.3,54.9,1,4,2
33.6,79.7,38.5,53.0,0,3,1
33.5,50.6,22.5,70.3,5,3,1
31.5,62.6,34.5,71.2,6,3,1
35.7,64.2,24.2,51.7,11,4,0
33.3,77.4,33.5,54.5,7,4,1
34.5,72.4,34.4,47.2,3,1,0
35.7,70.5,37.9,63.3,1,5,2
35.6,60.2,24.1,61.6,12,5,0
36.2,79.6,36.1,69.9,7,3,1
34.3,113.3,13.0,67.0,14,2,0
33.4,73.3,38.4,68.1,4,4,1
34.3,66.2,27.8,46.6,3,4,2
30.3,49.4,28.0,55.7,4,5,1
30.9,57.4,11.7,71.5,6,3,0
31.2,62.4,24.9,56.6,2,3,0
32.0,58.6,38.8,45.7,1,3,1
35.5,64.8,24.6,70.1,11,2,0
32.2,86.3,33.7,56.2,10,4,0
33.6,80.0,28.3,72.6,7,4,2
37.7,63.1,36.5,61.8,7,1,0
33.6,50.5,29.5,59.2,7,1,0
36.3,81.0,20.5,75.6,8,1,0
32.2,64.4,28.5,49.0,4,2,0
34.0,44.3,40.8,76.3,11,1,0
32.1,73.5,32.0,55.6,0,3,1
33.7,77.3,27.1,63.6,11,5,0
36.6,35.9,46.0,63.7,11,4,0
30.2,55.1,37.3,57.7,7,5,1
35.6,63.7,34.5,54.4,4,1,0
35.1,73.8,30.5,58.3,13,4,0
33.0,58.8,33.8,51.9,12,4,0
30.9,55.0,34.1,81.6,13,3,1
34.7,73.7,10.5,57.2,0,4,0
33.2,59.4,31.2,73.6,9,1,0
35.1,71.5,26.7,72.3,0,4,1
34.6,51.7,24.0,65.6,0,5,2
38.5,48.8,26.4,60.6,0,2,0
33.9,74.1,15.6,63.9,11,1,2
31.9,68.0,13.6,67.7,10,1,0
34.9,76.1,38.0,63.0,13,2,0
35.0,58.6,31.7,46.3,9,5,1
37.9,55.5,8.7,43.8,8,5,0
36.6,81.3,23.4,77.1,2,4,1
35.4,46.7,35.0,35.7,10,2,0
38.2,80.0,25.8,64.0,13,2,0
31.5,80.8,38.0,59.7,5,5,1
32.9,75.3,36.4,63.6,10,3,0
32.2,56.7,17.1,50.6,7,4,1
33.5,55.2,26.9,65.5,7,2,0
31.1,62.5,24.4,64.1,11,5,0
36.1,49.5,16.9,89.6,4,3,0
33.9,53.5,16.4,63.3,13,4,0
30.8,72.7,21.6,75.5,14,5,0
32.0,72.8,22.9,47.0,1,2,0
35.3,52.4,30.3,72.2,7,4,1
36.6,73.1,36.4,64.3,0,4,2
39.5,70.5,32.1,64.7,5,3,0
41.8,83.1,34.0,64.8,5,5,0
35.5,71.8,25.9,79.1,9,3,0
32.0,77.7,32.8,64.6,5,4,1
29.2,70.7,26.8,54.2,5,1,0
35.2,76.8,24.5,55.8,11,5,0
32.5,49.6,43.2,70.2,11,5,0
33.5,63.5,9.4,66.5,0,5,0
33.0,64.5,13.0,46.7,5,5,1
34.1,62.1,31.1,67.1,11,4,0
37.2,70.3,25.9,51.2,1,4,1
34.9,72.6,16.5,66.4,8,5,0
34.1,69.7,19.6,53.9,7,4,1
31.9,62.9,20.6,59.2,10,2,0
30.3,56.2,35.1,56.6,10,1,0
33.3,78.2,37.7,77.2,7,5,1
34.4,69.2,41.1,66.0,6,1,0
38.9,52.8,15.3,74.6,11,5,0
34.8,62.7,17.1,91.0,5,5,0
37.0,44.1,16.5,62.5,6,1,0
33.3,65.4,38.3,77.0,6,5,1
31.5,62.6,31.3,55.0,5,3,2
32.1,58.1,28.6,74.5,9,2,0
32.7,84.0,29.8,53.9,9,3,0
39.8,51.1,27.5,61.8,13,3,0
32.4,73.5,19.0,67.4,6,5,1
36.6,91.2,32.1,68.9,11,3,0
32.2,77.9,26.5,49.3,4,1,0
36.8,64.6,18.4,53.3,14,2,0
35.5,51.4,32.6,68.1,13,3,0
34.1,48.7,24.6,58.3,8,3,0
34.4,60.1,29.8,48.0,10,3,0
32.9,56.8,27.0,61.3,8,5,0
35.6,56.4,35.1,60.8,2,2,0
33.4,61.1,29.8,63.8,14,5,0
31.4,63.8,20.9,67.3,11,5,0
31.3,70.8,30.6,66.7,6,5,1
34.9,50.1,30.8,54.3,3,3,1
38.4,56.8,32.1,57.9,10,5,2
34.9,63.1,36.3,71.3,6,3,1
34.2,62.7,23.1,56.6,12,2,0
35.2,87.0,33.3,58.0,3,5,0
37.8,67.8,14.2,47.0,7,5,1
35.0,45.6,27.0,61.7,1,1,0
33.5,70.0,25.8,65.5,10,2,0
37.3,71.5,39.6,42.2,5,2,0
35.6,63.5,26.7,51.3,2,5,2
38.3,50.4,32.9,47.8,8,2,0
35.0,86.1,13.9,69.9,8,4,0
31.4,52.2,25.2,42.9,4,5,1
31.1,72.9,21.2,61.2,14,5,0
38.6,67.4,47.8,69.2,1,5,0
38.8,72.2,22.7,63.9,4,3,1
34.1,85.5,28.6,57.6,3,4,0
33.5,71.7,29.0,65.5,13,4,0
38.2,58.3,15.3,72.4,3,2,0
31.7,78.3,23.8,60.9,3,3,1
32.3,57.4,31.2,39.6,8,3,0
36.1,67.0,28.7,73.5,3,5,1
33.5,49.5,9.6,66.0,4,3,0
34.5,52.6,23.5,61.7,3,3,1
34.1,65.6,36.2,42.2,8,3,0
35.3,69.4,32.7,59.0,11,1,0
38.0,44.6,37.7,53.2,7,2,0
34.7,71.0,20.1,49.8,13,5,0
36.1,55.2,38.2,60.6,3,1,0
29.4,80.4,27.6,56.6,12,4,0
34.4,60.8,40.7,57.3,11,5,0
32.4,51.5,28.0,69.4,1,4,2
31.5,65.9,11.6,64.6,10,4,0
32.3,54.0,34.8,57.0,14,4,0
33.7,80.2,24.5,55.8,10,1,0
36.8,65.0,25.0,57.5,3,1,0
31.2,63.2,16.4,59.5,6,5,1
34.6,72.1,41.0,67.8,13,3,0
33.3,52.9,23.8,51.6,4,3,1
33.7,49.5,40.6,76.6,7,1,0
37.0,69.9,24.6,67.8,8,4,0
35.8,51.8,20.6,34.6,12,1,0
37.8,51.8,38.6,62.9,14,1,0
34.1,75.0,27.4,72.4,10,2,0
32.8,71.3,27.5,65.9,6,5,1
33.9,50.0,17.7,57.9,6,5,1
35.1,57.6,24.3,61.4,9,1,0
34.9,54.2,31.4,63.8,1,1,0
31.8,86.3,17.6,69.7,6,5,0
34.7,75.9,23.7,47.8,5,4,1
35.1,59.9,24.6,55.9,13,4,0
40.8,71.9,28.5,78.4,12,3,0
39.2,48.7,39.8,62.3,3,2,0
32.4,56.9,25.6,77.3,9,4,0
33.8,66.3,22.5,91.9,6,1,0
30.8,70.4,50.0,57.1,12,1,0
33.0,63.8,24.5,50.0,7,5,1
35.3,68.0,26.5,59.3,9,2,0
37.5,65.9,25.1,73.0,10,1,0
32.7,63.0,25.8,74.4,12,3,0
32.9,61.4,28.6,84.7,10,1,0
29.1,59.9,35.4,61.6,4,3,0
34.1,67.8,31.2,66.9,11,4,0
31.8,69.9,36.6,54.9,4,2,0
33.2,67.4,36.4,36.9,10,1,0
32.3,50.9,29.7,61.6,14,5,0
34.3,53.0,31.0,50.5,7,3,1
30.1,69.8,36.9,68.4,13,1,0
30.8,82.7,19.1,43.2,2,3,1
39.8,66.8,48.0,54.6,6,5,1
31.3,60.1,23.9,64.7,13,1,0
31.8,67.7,25.2,65.7,10,4,0
39.1,51.4,18.3,61.5,4,2,0
41.8,80.7,18.5,80.7,7,4,0
31.6,67.2,35.8,77.7,1,1,0
33.6,57.0,46.2,55.2,12,5,0
35.4,63.0,23.5,78.1,1,5,0
38.8,58.7,30.8,79.6,8,3,0
32.0,80.7,29.8,60.8,7,2,0
33.9,62.6,36.0,62.5,9,1,0
36.4,66.9,45.7,61.5,6,4,1
35.6,71.9,40.2,55.6,1,4,2
33.6,56.1,26.1,56.5,9,4,0
34.2,67.3,32.2,75.2,13,3,0
31.1,68.3,33.0,66.4,9,4,0
33.9,46.4,27.8,56.5,0,4,1
33.8,68.0,19.2,52.7,1,2,0
35.1,64.5,21.6,54.4,4,4,2
33.1,66.6,37.2,60.4,4,1,0
35.7,65.4,38.0,71.1,1,5,1
37.0,68.1,26.3,53.4,13,3,0
34.9,81.0,30.1,71.0,11,4,0
35.4,50.8,37.6,64.0,11,4,0
34.6,60.9,14.4,63.4,14,1,0
34.5,73.0,24.4,72.3,13,4,0
32.7,70.8,44.1,70.4,2,4,1
35.3,70.5,30.4,48.0,0,1,0
34.3,98.0,19.0,51.2,10,2,0
39.7,72.4,28.9,59.7,13,4,0
38.4,78.6,36.2,65.6,10,2,0
35.5,61.3,7.6,75.6,12,1,0
32.6,53.1,29.4,62.7,9,5,0
31.7,61.2,25.0,79.0,6,3,0
37.5,73.5,14.9,54.9,1,2,0
35.2,69.9,28.7,56.6,10,3,0
35.7,69.8,26.9,58.9,4,2,0
30.1,62.4,27.8,53.8,4,1,1
36.8,60.5,25.2,73.6,13,3,0
35.6,62.8,19.8,34.3,9,5,0
31.7,73.7,16.4,57.0,6,5,1
33.3,75.1,22.5,73.5,11,4,0
35.2,52.9,34.9,58.9,10,1,0
34.6,74.1,29.9,72.7,7,2,0
33.8,57.2,27.4,84.0,14,2,0
34.2,70.6,19.7,62.8,0,1,0
33.9,62.7,25.0,73.7,7,1,0
34.9,83.8,33.9,86.2,6,4,0
38.2,60.0,32.0,66.0,1,3,0
28.1,67.1,24.2,61.5,10,5,0
33.9,72.3,7.1,71.0,1,1,0
34.9,54.5,22.6,73.8,10,1,0
35.2,64.1,24.1,61.6,11,4,0
33.6,61.8,20.7,57.2,7,2,0
30.1,58.8,24.7,79.2,3,2,0
35.3,59.7,34.5,59.3,14,4,0
38.8,78.3,27.7,73.9,10,5,0
30.7,57.8,35.9,64.6,1,3,1
36.7,71.8,15.9,80.3,11,4,0
33.7,68.8,25.6,53.5,2,2,0
34.3,48.2,12.5,53.5,9,5,0
31.9,71.2,24.6,70.5,3,3,1
33.7,48.0,19.6,50.7,9,1,0
37.8,72.5,38.3,63.2,12,3,0
36.0,58.9,31.3,77.5,11,2,0
38.8,65.1,36.1,44.2,11,1,0
37.4,49.5,24.6,66.0,10,1,0
35.6,66.5,19.8,74.1,11,2,0
38.9,76.1,19.6,61.7,13,1,0
35.6,55.3,30.1,52.7,13,1,0
36.6,57.7,42.5,59.4,11,3,0
33.8,70.5,31.3,53.6,6,1,1
34.7,70.8,25.0,62.7,4,4,2
32.8,35.8,26.5,59.2,4,5,1
37.0,89.2,27.7,56.9,9,1,0
31.6,71.3,44.2,66.7,9,1,0
36.5,73.4,37.9,77.8,6,2,0
34.0,63.3,30.1,65.3,6,1,0
37.4,42.7,28.9,75.4,10,2,0
36.4,73.1,30.4,77.8,7,5,1
39.1,58.2,32.0,56.1,0,5,0
36.3,71.5,24.7,64.7,2,5,2
30.6,62.4,21.2,57.8,4,5,1
34.3,67.9,36.3,47.2,5,5,1
31.6,55.7,28.2,65.6,10,3,0
33.2,75.4,35.6,51.5,7,1,0
38.3,50.7,41.2,66.8,6,4,0
36.1,91.9,32.2,46.4,1,4,0
32.8,91.9,30.9,63.7,0,5,0
32.0,84.6,53.6,46.3,14,4,0
34.6,80.3,29.7,68.7,12,3,0
31.5,64.0,19.3,58.1,0,4,1
32.8,79.0,25.8,57.1,6,4,1
35.3,63.8,40.4,73.3,13,1,0
37.4,46.4,17.6,58.8,10,4,0
36.0,83.0,22.0,63.1,1,2,0
28.8,78.5,36.9,60.0,6,1,0
35.3,64.6,25.8,67.1,12,2,0
34.7,50.3,27.1,72.4,4,5,1
35.5,58.0,36.6,70.4,8,4,2
38.5,43.1,22.3,57.3,4,1,0
29.3,76.3,16.3,74.1,2,2,0
33.0,45.8,16.9,52.8,12,4,0
36.0,68.4,32.7,54.6,3,3,1
30.5,54.9,30.1,60.7,8,4,0
38.2,47.9,22.5,72.5,5,4,0
35.4,67.9,18.7,50.3,9,1,0
36.6,61.0,25.8,70.9,11,5,0
33.1,75.1,36.9,61.5,8,3,0
36.5,49.8,21.3,57.7,2,5,1
37.2,55.9,22.7,73.0,4,2,0
35.1,36.3,18.5,54.0,3,4,1
35.1,38.8,25.1,84.9,10,1,0
35.2,86.6,30.7,60.2,10,1,0
32.3,90.0,44.9,63.5,2,5,0
34.1,66.1,29.7,77.4,9,5,0
34.1,55.1,27.6,63.8,6,5,1
35.5,61.4,34.9,73.9,6,2,0
37.0,75.5,33.6,42.5,12,5,0
31.9,58.8,23.4,57.6,0,1,0
34.2,67.9,46.4,66.0,10,3,0
38.2,64.8,27.8,72.8,8,3,0
32.6,58.2,29.9,69.7,3,4,2
32.4,58.7,32.4,68.8,3,4,2
35.0,68.5,30.8,72.6,2,2,0
36.6,53.3,40.2,66.8,9,1,0
34.5,70.4,23.3,40.6,9,2,0
37.8,59.3,34.3,76.4,4,2,0
36.6,66.5,29.3,53.6,5,4,1
36.6,81.6,35.9,65.1,14,1,0
35.9,63.0,26.3,63.8,10,3,0
40.3,76.0,25.2,62.5,8,4,0
34.0,43.5,33.9,50.9,1,4,1
29.5,59.4,30.9,42.6,8,4,0
38.5,65.3,21.4,52.0,5,2,0
33.4,88.1,38.8,70.3,12,3,0
34.8,41.5,33.9,47.5,2,1,0
37.8,63.8,27.4,53.2,14,3,0
30.5,82.5,24.3,66.2,14,5,0
31.4,55.6,30.9,51.7,11,5,0
30.5,62.4,33.3,56.6,7,4,1
32.5,69.0,15.2,62.8,8,3,0
35.6,67.2,31.0,64.8,13,5,0
35.8,83.8,33.2,51.5,12,3,0
35.2,70.4,9.2,63.4,12,4,0
31.0,80.9,29.6,66.0,2,3,1
28.7,60.7,33.6,49.3,6,1,0
34.6,56.1,32.6,64.1,11,4,0
33.3,62.3,34.4,54.8,1,5,2
35.6,51.1,25.4,63.2,10,4,0
36.3,70.8,19.7,69.2,5,4,1
34.8,60.4,13.6,60.2,8,1,0
36.4,56.9,36.7,71.1,13,1,0
35.1,71.0,33.6,69.9,13,5,0
35.8,51.3,37.3,71.1,5,3,1
32.7,74.2,22.2,66.0,10,3,0
34.1,59.3,34.4,73.0,0,4,1
35.0,78.9,16.0,65.9,10,5,0
36.6,60.3,21.0,45.3,2,3,1
33.5,72.6,29.0,54.1,13,3,0
35.8,67.2,33.3,59.9,4,3,1
33.8,73.9,41.4,61.1,10,3,0
34.2,66.3,26.1,65.6,9,4,0
36.6,45.0,21.1,53.9,3,1,0
29.5,77.1,20.7,82.1,12,2,0
31.3,63.9,22.5,61.0,2,3,1
30.8,74.5,45.8,61.9,13,3,0
28.7,73.3,34.1,55.3,7,3,0
32.8,55.7,36.9,52.0,6,3,1
36.4,54.0,26.1,60.7,3,5,0
33.8,72.9,28.0,62.3,0,5,2
35.0,61.4,33.6,61.1,10,5,0
37.2,76.2,24.0,78.6,10,3,0
37.8,62.9,25.7,60.7,12,3,0
34.3,77.3,22.6,61.1,14,3,0
37.9,70.1,24.4,70.2,4,5,1
34.7,68.5,28.4,60.3,8,4,0
32.4,60.5,21.4,67.4,13,5,0
33.0,67.8,30.3,49.2,8,5,0
30.8,79.3,30.3,49.3,11,5,0
32.3,64.3,26.6,63.2,10,3,0
33.6,71.4,21.4,59.7,14,2,0
36.5,65.6,28.8,53.9,5,5,1
38.8,66.5,24.0,63.2,2,2,0
31.0,85.7,28.4,64.1,13,2,0
35.5,79.4,36.8,54.9,6,5,0
31.9,66.0,18.0,56.8,2,4,1
35.7,67.6,45.4,64.2,9,3,0
34.2,56.6,27.4,51.8,12,3,0
29.9,62.9,31.3,56.0,11,3,0
36.8,68.7,22.0,67.3,5,5,1
33.0,75.2,37.1,61.8,13,3,0
33.2,74.0,27.0,57.2,0,3,2
31.8,51.7,24.8,53.0,13,1,0
32.9,76.7,23.4,51.9,2,1,0
35.6,63.9,25.9,60.7,3,2,0
34.0,53.2,31.3,82.3,4,2,0
35.3,81.0,29.4,67.7,6,2,0
35.4,82.6,27.7,48.7,0,4,1
37.8,68.2,22.3,69.1,10,3,0
33.6,73.5,21.8,54.4,1,1,0
30.8,74.2,24.3,62.0,1,3,1
37.2,81.7,31.7,56.1,0,1,0
33.7,73.7,33.3,82.2,14,3,0
37.3,49.1,34.4,50.7,0,1,0
35.5,89.1,28.0,65.1,11,1,0
34.2,77.8,31.1,55.1,9,5,0
35.4,58.9,26.7,69.4,12,1,0
39.4,52.6,14.1,64.9,6,5,0
39.7,71.1,26.3,74.5,13,3,0
34.7,61.7,25.0,69.2,7,5,1
34.9,69.0,19.7,55.1,2,1,0
37.2,73.9,23.5,91.2,13,3,0
32.4,58.2,29.1,67.6,6,5,1
35.3,51.6,18.9,56.5,0,1,0
34.4,69.6,22.3,64.1,9,3,0
35.3,58.6,40.4,68.3,4,1,0
32.4,66.8,15.2,67.9,12,2,0
30.5,48.9,26.5,67.0,2,5,1
29.3,62.0,18.7,71.7,11,3,0
31.7,73.6,22.0,70.7,12,2,0
33.4,72.3,26.4,53.5,1,4,2
33.8,55.5,20.1,83.1,8,2,0
39.3,51.0,32.6,81.7,9,1,1
37.3,65.2,38.8,70.0,13,3,0
32.1,71.7,34.7,62.4,4,4,2
35.4,69.9,36.2,62.6,7,1,0
33.5,58.9,17.0,58.8,6,1,0
33.8,68.6,26.1,60.1,5,3,1
35.0,83.0,31.7,40.1,14,2,0
36.0,67.5,35.0,77.3,9,5,0
33.7,45.4,42.0,73.8,2,2,0
37.2,67.4,36.6,45.2,12,2,0
31.6,89.5,35.2,70.9,1,3,0
34.5,49.6,49.1,61.9,13,5,0
41.0,65.4,28.8,60.0,6,4,0
35.1,62.3,25.7,66.9,10,4,0
38.1,66.2,29.4,44.6,12,5,0
34.7,67.3,20.7,61.9,13,5,2
36.0,78.7,28.5,62.8,2,3,1
34.4,66.0,14.2,62.8,6,2,0
34.1,80.3,23.8,48.3,1,1,2
32.6,63.6,27.1,66.5,9,3,0
35.6,60.8,35.6,72.6,6,4,1
32.4,57.0,36.9,66.1,14,2,0
36.2,43.2,20.3,59.7,9,3,0
37.2,68.3,44.6,88.9,6,3,1
35.4,89.6,29.2,52.8,2,3,0
33.8,70.5,29.9,69.7,4,5,2
35.6,73.2,15.1,64.4,12,3,0
33.7,60.0,23.0,82.1,2,3,0
36.8,62.1,36.4,65.9,12,3,0
29.9,76.8,29.4,68.0,9,2,0
33.7,89.1,28.9,67.1,7,4,0
29.5,82.9,29.8,51.4,7,4,0
30.8,74.7,16.5,53.3,0,3,1
37.9,65.4,27.2,59.2,3,2,0
36.7,67.5,39.3,71.6,7,5,1
32.7,56.0,36.7,64.3,7,5,1
30.7,47.6,27.0,59.9,3,4,1
27.1,51.5,40.5,75.7,12,5,0
33.1,65.6,17.9,42.2,6,3,1
40.6,61.5,20.2,49.0,5,4,0
35.6,47.4,42.9,37.0,11,2,0
33.1,64.6,32.6,74.1,2,4,1
35.7,61.2,25.7,61.0,0,1,0
30.6,50.9,27.6,71.7,4,3,1
33.8,60.6,21.5,60.9,0,2,0
34.7,61.1,30.2,72.2,5,3,1
34.3,57.6,29.6,60.7,2,2,0
36.5,76.1,28.2,66.1,9,5,0
35.4,42.2,18.7,64.6,0,1,0
36.2,41.2,30.1,65.4,3,5,1
32.8,65.0,23.8,78.8,3,4,0
36.7,66.2,20.1,45.8,8,5,0
38.6,69.9,38.1,61.3,6,2,0
32.1,58.5,45.4,64.0,11,4,0
32.3,54.0,43.5,62.5,11,1,2
37.8,64.9,33.2,58.0,5,4,1
34.0,59.7,25.9,56.7,0,3,1
38.0,83.6,27.4,77.3,14,4,0
33.4,61.1,31.2,61.3,5,4,1
38.1,64.4,24.6,86.4,8,3,0
34.8,94.7,38.6,67.3,13,2,0
35.1,62.7,11.7,59.1,9,4,0
38.4,71.7,25.6,67.5,8,5,0
33.6,72.8,34.4,63.1,5,2,0
32.1,73.8,21.2,75.4,12,5,0
33.4,68.5,26.1,50.3,2,3,1
35.6,67.3,32.7,44.0,7,5,1
30.6,66.2,40.1,65.6,5,4,1
36.1,58.1,17.6,70.4,1,4,1
33.2,68.9,17.1,64.9,4,4,1
37.4,89.3,20.4,68.7,2,5,0
28.5,79.5,15.7,67.3,1,5,0
32.5,68.6,16.3,47.2,11,2,0
30.3,75.3,20.2,64.8,10,4,0
32.4,54.6,37.9,75.2,12,4,0
35.1,61.9,25.5,63.7,0,3,1
34.1,76.4,28.3,48.9,7,2,0
33.9,82.8,20.4,58.7,9,3,0
34.1,55.7,33.1,67.6,7,2,0
35.0,59.2,43.0,80.0,0,1,0
32.0,91.2,20.9,42.4,6,5,0
36.3,66.2,41.8,65.6,1,4,2
36.2,86.9,30.9,52.7,0,3,0
35.5,67.5,28.1,67.1,10,3,0
35.9,68.0,31.2,67.9,1,1,0
35.2,61.3,31.1,59.7,4,2,0
39.6,76.3,42.9,68.3,14,1,0
34.3,81.3,32.2,73.4,14,3,0
33.7,52.6,32.3,60.4,0,3,1
32.6,60.8,24.6,48.6,6,5,1
31.9,76.0,34.7,76.3,5,5,1
31.4,63.4,20.3,70.3,9,4,0
32.3,59.1,28.9,67.6,10,5,0
34.3,77.1,51.1,55.1,1,2,0
35.3,78.2,8.0,71.9,6,1,0
34.6,59.6,29.9,82.4,4,3,0
32.6,67.5,30.2,60.8,14,1,0
36.8,50.5,26.2,62.9,4,5,2
36.3,54.3,26.4,51.3,0,1,0
34.1,66.5,28.7,54.8,9,5,2
32.9,65.4,26.0,51.3,13,4,0
35.9,53.4,29.8,63.3,12,2,0
35.0,56.4,24.1,58.6,2,3,0
30.9,52.2,44.2,65.7,11,3,0
34.3,70.5,26.0,53.1,3,4,2
35.2,41.4,32.6,60.3,2,3,1
32.3,52.9,22.6,52.5,7,3,1
35.0,42.6,35.5,63.9,12,3,0
30.9,70.0,33.9,45.7,13,1,0
37.8,43.4,31.4,63.5,9,4,0
37.6,65.4,19.8,59.2,6,2,2
33.9,84.7,22.0,63.8,8,2,0
35.4,85.1,41.5,45.5,4,2,0
28.5,43.3,21.9,68.5,2,3,0
31.6,68.6,33.1,59.0,6,4,1
33.8,53.1,20.4,64.2,2,5,2
31.8,50.7,36.1,43.3,1,3,1
36.3,63.6,22.5,49.6,11,2,0
39.5,79.7,20.3,58.1,12,5,0
31.6,72.2,22.3,75.8,11,3,0
32.4,56.4,23.6,67.3,13,1,0
35.1,73.5,31.2,63.3,7,5,1
38.5,38.1,28.6,52.8,10,5,0
31.4,56.0,19.2,50.9,3,2,0
35.1,55.1,27.8,64.8,6,2,0
39.1,65.9,18.9,69.0,1,2,0
30.4,62.6,33.1,64.1,9,2,0
31.3,63.3,34.6,79.1,6,1,0
33.4,62.9,27.8,55.2,8,1,0
33.2,65.3,30.2,63.8,12,1,0
36.5,71.5,42.0,45.1,0,2,0
35.1,66.8,26.7,64.1,6,1,0
30.1,61.6,20.4,76.7,5,1,0
35.8,69.8,32.6,51.6,11,5,0
33.1,74.9,18.9,70.4,9,2,0
37.7,58.3,26.3,76.4,10,5,0
32.9,64.3,23.2,55.1,12,3,0
32.9,78.9,22.4,66.7,4,3,1
35.9,51.8,26.0,77.8,5,4,1
36.4,86.7,35.2,64.3,5,1,0
35.6,48.9,36.8,69.9,12,4,0
30.3,60.9,35.4,44.3,6,3,1
35.8,53.6,30.7,68.0,11,5,0
31.9,91.3,25.9,67.2,3,5,0
35.1,59.0,9.1,48.7,13,4,0
30.9,59.0,30.9,52.4,7,1,0
35.6,60.6,9.8,68.0,14,5,0
32.5,66.1,12.6,59.0,6,4,1
31.3,61.1,26.7,73.1,0,1,0
36.3,63.4,30.1,65.1,3,1,0
35.1,22.6,24.4,62.6,6,5,1
33.0,65.7,40.3,60.3,1,5,2
38.1,65.2,31.7,64.9,11,3,0
33.4,77.5,26.0,70.0,5,5,1
34.6,80.7,39.1,67.3,12,3,0
35.2,62.7,40.5,57.8,14,5,0
33.0,74.8,32.1,74.4,1,3,1
35.7,51.8,21.8,68.6,4,4,2
33.2,74.2,23.6,65.9,9,1,1
33.5,58.1,16.4,62.9,12,5,0
37.9,50.8,27.7,67.0,13,1,0
31.9,62.8,19.6,43.7,2,2,0
28.5,81.8,25.4,64.4,3,3,0
38.5,67.2,30.1,78.4,2,4,0
40.9,83.0,12.1,64.2,5,4,0
